tensor(143.8488, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8488, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8488, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8488, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8488, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8487, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8487, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8487, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8487, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8487, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8487, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8486, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8486, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8486, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8486, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8486, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8486, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8486, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8486, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8486, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8485, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8485, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8485, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8485, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8485, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8485, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8485, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8484, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8484, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8484, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8484, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8484, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8484, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8484, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8484, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8484, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8483, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8483, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8483, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8483, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8483, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8483, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8483, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8483, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8483, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8483, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
